Judge_model,Test_model,Average_rating,Z-score_normalized,Min-Max_normalized
gpt-35-turbo,gpt-35-turbo,5.21,-0.7049035976069866,0.4677777777777778
gpt-35-turbo,gpt-4,6.4,-0.08319246450519581,0.6000000000000001
gpt-35-turbo,gpt-4o,6.474747474747475,-0.04414092062137237,0.6083052749719416
gpt-35-turbo,GLM-4,6.02,-0.28172207003349914,0.5577777777777777
gpt-35-turbo,claude-3.5-sonnet,6.39,-0.08841692780857255,0.5988888888888888
gpt-35-turbo,Qwen2-72b,5.95,-0.31829331315713355,0.55
gpt-4,gpt-35-turbo,5.67,-0.46457828565167264,0.5188888888888888
gpt-4,gpt-4,6.98,0.21982640709063497,0.6644444444444445
gpt-4,gpt-4o,6.79,0.12056160432648332,0.6433333333333333
gpt-4,GLM-4,6.38,-0.09364139111194883,0.5977777777777777
gpt-4,claude-3.5-sonnet,6.25,-0.16155941405584187,0.5833333333333334
gpt-4,Qwen2-72b,6.82,0.13623499423661262,0.6466666666666667
gpt-4o,gpt-35-turbo,5.568421052631579,-0.5176478339438644,0.5076023391812865
gpt-4o,gpt-4,7.0,0.23027533369738754,0.6666666666666666
gpt-4o,gpt-4o,7.010204081632653,0.23560641870083301,0.6678004535147393
gpt-4o,GLM-4,6.416666666666667,-0.07448502566623519,0.6018518518518519
gpt-4o,claude-3.5-sonnet,6.666666666666667,0.056126556918174614,0.6296296296296297
gpt-4o,Qwen2-72b,6.744897959183674,0.09699820861125522,0.6383219954648527
GLM-4,gpt-35-turbo,5.614583333333333,-0.4935305197912169,0.5127314814814814
GLM-4,gpt-4,6.561224489795919,0.001038678549239866,0.6179138321995465
GLM-4,gpt-4o,6.622448979591836,0.033025188569911344,0.6247165532879818
GLM-4,GLM-4,6.552083333333333,-0.003737085099680186,0.6168981481481481
GLM-4,claude-3.5-sonnet,6.288659793814433,-0.14136174664588166,0.5876288659793815
GLM-4,Qwen2-72b,6.525252525252525,-0.017754742321491778,0.6139169472502806
claude-3.5-sonnet,gpt-35-turbo,5.65,-0.4750272122584252,0.5166666666666667
claude-3.5-sonnet,gpt-4,7.08,0.2720710401243987,0.6755555555555556
claude-3.5-sonnet,gpt-4o,7.16,0.3138667465514099,0.6844444444444444
claude-3.5-sonnet,GLM-4,6.67,0.057868044685966555,0.63
claude-3.5-sonnet,claude-3.5-sonnet,7.04,0.25117318691089313,0.6711111111111111
claude-3.5-sonnet,Qwen2-72b,6.86,0.1571328474501182,0.6511111111111112
Qwen2-72b,gpt-35-turbo,6.08,-0.2503752902132405,0.5644444444444444
Qwen2-72b,gpt-4,7.474747474747475,0.47830540971626684,0.7194163860830528
Qwen2-72b,gpt-4o,7.424242424242424,0.4519192314163858,0.7138047138047138
Qwen2-72b,GLM-4,6.92,0.18847962727037634,0.6577777777777778
Qwen2-72b,claude-3.5-sonnet,7.17,0.3190912098547862,0.6855555555555556
Qwen2-72b,Qwen2-72b,7.64,0.5646409851134765,0.7377777777777778
